0	5.220000000000001	0.66
10	5.2299999999999995	0.66
20	5.2	0.66
30	5.2299999999999995	0.66
40	5.54	0.66
50	5.63	0.66
60	5.6	0.66
70	5.58	0.66
80	5.42	0.66
90	5.279999999999999	0.66
100	5.220000000000001	0.66
110	5.36	0.66
120	5.470000000000001	0.66
130	5.55	0.66
140	5.58	0.66
150	5.75	0.66
160	5.6899999999999995	0.66
170	5.74	0.66
180	5.7700000000000005	0.66
190	5.68	0.66
200	5.7	0.66
210	5.7	0.66
220	5.64	0.66
230	5.76	0.66
240	5.87	0.66
250	5.87	0.66
260	5.7	0.66
270	5.64	0.66
280	5.62	0.66
290	5.63	0.66
300	5.62	0.66
310	5.42	0.66
320	5.4399999999999995	0.66
330	5.54	0.66
340	5.58	0.66
350	5.61	0.66
360	5.58	0.66
370	5.63	0.66
380	5.68	0.66
390	5.64	0.66
400	5.67	0.66
410	5.75	0.66
420	5.7	0.66
430	5.67	0.66
440	5.7	0.66
450	5.66	0.66
460	5.62	0.66
470	5.37	0.66
480	5.46	0.66
490	5.37	0.66
500	5.49	0.66
510	5.4799999999999995	0.66
520	5.3	0.66
530	5.41	0.66
540	5.66	0.66
550	5.65	0.66
560	5.61	0.66
570	5.58	0.66
580	5.43	0.66
590	5.62	0.66
600	5.55	0.66
610	5.41	0.66
620	5.529999999999999	0.66
630	5.49	0.66
640	5.529999999999999	0.66
650	5.38	0.66
660	5.43	0.66
670	5.42	0.66
680	5.57	0.66
690	5.54	0.66
700	5.5600000000000005	0.66
710	5.5600000000000005	0.66
720	5.6899999999999995	0.66
730	5.5600000000000005	0.66
740	5.66	0.66
750	5.65	0.66
760	5.79	0.66
770	5.7299999999999995	0.66
780	5.65	0.66
790	5.75	0.66
800	5.5600000000000005	0.66
810	5.65	0.66
820	5.65	0.66
830	5.7	0.66
840	5.74	0.66
850	5.61	0.66
860	5.7	0.66
870	5.64	0.66
880	5.42	0.66
890	5.4399999999999995	0.66
900	5.42	0.66
910	5.470000000000001	0.66
920	5.33	0.66
930	5.4399999999999995	0.66
940	5.37	0.66
950	5.39	0.66
960	5.39	0.66
970	5.45	0.66
980	5.35	0.66
990	5.43	0.66
1000	5.59	0.66
1010	5.66	0.66
1020	5.7	0.66
1030	5.82	0.66
1040	5.7299999999999995	0.66
1050	5.82	0.66
1060	5.7	0.66
1070	5.49	0.66
1080	5.64	0.66
1090	5.7299999999999995	0.66
1100	5.68	0.66
1110	5.43	0.66
1120	5.529999999999999	0.66
1130	5.61	0.66
1140	5.470000000000001	0.66
1150	5.42	0.66
1160	5.36	0.66
1170	5.37	0.66
1180	5.51	0.66
1190	5.64	0.66
1200	5.59	0.66
1210	5.83	0.66
1220	5.79	0.66
1230	5.76	0.66
1240	5.79	0.66
1250	5.75	0.66
1260	5.79	0.66
1270	5.83	0.66
1280	5.89	0.66
1290	5.51	0.66
1300	5.51	0.66
1310	5.5600000000000005	0.66
1320	5.5	0.66
1330	5.79	0.66
1340	5.7299999999999995	0.66
1350	5.8	0.66
1360	5.83	0.66
1370	5.68	0.66
1380	5.39	0.66
1390	5.5	0.66
1400	5.43	0.66
1410	5.470000000000001	0.66
1420	5.63	0.66
1430	5.65	0.66
1440	5.7299999999999995	0.66
1450	5.89	0.66
1460	5.88	0.66
1470	5.95	0.66
1480	5.87	0.66
1490	5.7700000000000005	0.66
1500	5.87	0.66
1510	5.96	0.66
1520	5.8100000000000005	0.66
1530	5.720000000000001	0.66
1540	5.779999999999999	0.66
1550	5.68	0.66
1560	5.62	0.66
1570	5.66	0.66
1580	5.57	0.66
1590	5.58	0.66
1600	5.62	0.66
1610	5.59	0.66
1620	5.529999999999999	0.66
1630	5.529999999999999	0.66
1640	5.45	0.66
1650	5.5	0.66
1660	5.2299999999999995	0.66
1670	5.3	0.66
1680	5.38	0.66
1690	5.16	0.66
1700	5.32	0.66
1710	5.3100000000000005	0.66
1720	5.3	0.66
1730	5.4399999999999995	0.66
1740	5.51	0.66
1750	5.5	0.66
1760	5.57	0.66
1770	5.49	0.66
1780	5.720000000000001	0.66
1790	5.71	0.66
1800	5.59	0.66
1810	5.529999999999999	0.66
1820	5.71	0.66
1830	5.65	0.66
1840	5.64	0.66
1850	5.7	0.66
1860	5.83	0.66
1870	5.79	0.66
1880	5.71	0.66
1890	5.82	0.66
1900	5.85	0.66
1910	5.76	0.66
1920	5.71	0.66
1930	5.63	0.66
1940	5.66	0.66
1950	5.529999999999999	0.66
1960	5.43	0.66
1970	5.61	0.66
1980	5.779999999999999	0.66
1990	5.85	0.66
2000	5.87	0.66
2010	5.87	0.66
2020	5.84	0.66
2030	5.63	0.66
2040	5.6899999999999995	0.66
2050	5.67	0.66
2060	5.63	0.66
2070	5.57	0.66
2080	5.5	0.66
2090	5.64	0.66
2100	5.66	0.66
2110	5.68	0.66
2120	5.720000000000001	0.66
2130	5.8100000000000005	0.66
2140	5.720000000000001	0.66
2150	5.64	0.66
2160	5.63	0.66
2170	5.67	0.66
2180	5.5200000000000005	0.66
2190	5.59	0.66
2200	5.64	0.66
2210	5.5200000000000005	0.66
2220	5.6	0.66
2230	5.57	0.66
2240	5.55	0.66
2250	5.66	0.66
2260	5.74	0.66
2270	5.65	0.66
2280	5.75	0.66
2290	5.66	0.66
2300	5.65	0.66
2310	5.54	0.66
2320	5.4799999999999995	0.66
2330	5.59	0.66
2340	5.55	0.66
2350	5.55	0.66
2360	5.54	0.66
2370	5.5	0.66
2380	5.529999999999999	0.66
2390	5.51	0.66
2400	5.51	0.66
2410	5.5	0.66
2420	5.46	0.66
2430	5.4	0.66
2440	5.36	0.66
2450	5.39	0.66
2460	5.42	0.66
2470	5.41	0.66
2480	5.45	0.66
2490	5.2700000000000005	0.66
2500	5.3	0.66
2510	5.32	0.66
2520	5.51	0.66
2530	5.29	0.66
2540	5.34	0.66
2550	5.34	0.66
2560	5.2	0.66
2570	5.17	0.66
2580	5.25	0.66
2590	5.35	0.66
2600	5.21	0.66
2610	5.09	0.66
2620	5.12	0.66
2630	5.37	0.66
2640	5.220000000000001	0.66
2650	5.1	0.66
2660	5.13	0.66
2670	5.1	0.66
2680	5.18	0.66
2690	5.05	0.66
2700	5.21	0.66
2710	5.18	0.66
2720	5.1899999999999995	0.66
2730	5.2299999999999995	0.66
2740	5.2700000000000005	0.66
2750	5.32	0.66
2760	5.3	0.66
2770	5.1	0.66
2780	5.3100000000000005	0.66
2790	5.3100000000000005	0.66
2800	5.26	0.66
2810	5.4	0.66
2820	5.41	0.66
2830	5.2	0.66
2840	5.13	0.66
2850	5.220000000000001	0.66
2860	5.41	0.66
2870	5.35	0.66
2880	5.36	0.66
2890	5.46	0.66
2900	5.4399999999999995	0.66
2910	5.36	0.66
2920	5.26	0.66
2930	5.33	0.66
2940	5.39	0.66
2950	5.279999999999999	0.66
2960	5.21	0.66
2970	5.2299999999999995	0.66
2980	5.11	0.66
2990	5.09	0.66
3000	5.16	0.66
3010	5.16	0.66
3020	5.0600000000000005	0.66
3030	5.15	0.66
3040	5.1	0.66
3050	5.15	0.66
3060	5.18	0.66
3070	5.24	0.66
3080	5.26	0.66
3090	5.3	0.66
3100	5.29	0.66
3110	5.36	0.66
3120	5.3100000000000005	0.66
3130	5.4799999999999995	0.66
3140	5.4	0.66
3150	5.38	0.66
3160	5.46	0.66
3170	5.5600000000000005	0.66
3180	5.58	0.66
3190	5.64	0.66
3200	5.529999999999999	0.66
3210	5.59	0.66
3220	5.54	0.66
3230	5.68	0.66
3240	5.6	0.66
3250	5.7299999999999995	0.66
3260	5.58	0.66
3270	5.55	0.66
3280	5.529999999999999	0.66
3290	5.470000000000001	0.66
3300	5.49	0.66
3310	5.64	0.66
3320	5.75	0.66
3330	5.779999999999999	0.66
3340	5.74	0.66
3350	5.68	0.66
3360	5.5600000000000005	0.66
3370	5.62	0.66
3380	5.58	0.66
3390	5.55	0.66
3400	5.61	0.66
3410	5.62	0.66
3420	5.720000000000001	0.66
3430	5.68	0.66
3440	5.68	0.66
3450	5.67	0.66
3460	5.6899999999999995	0.66
3470	5.76	0.66
3480	5.82	0.66
3490	5.75	0.66
3500	5.87	0.66
3510	5.8	0.66
3520	5.83	0.66
3530	5.86	0.66
3540	5.79	0.66
